year,region,gear,country,species,fishingdays,vessels
2004,CA,Stick_held_dip_net,,Pacific_saury,NA,19
2003,CA,Stick_held_dip_net,,Pacific_saury,NA,19
2002,CA,Stick_held_dip_net,,Pacific_saury,NA,21
2001,CA,Stick_held_dip_net,,Pacific_saury,NA,26
2020,NW,Stick_held_dip_net,Korea,Pacific_saury,0,0
2019,NW,Stick_held_dip_net,Korea,Pacific_saury,0,0
2018,NW,Stick_held_dip_net,Korea,Pacific_saury,88,11
2017,NW,Stick_held_dip_net,Korea,Pacific_saury,191,13
2016,NW,Stick_held_dip_net,Korea,Pacific_saury,338,12
2020,CA,Stick_held_dip_net,Russia,Pacific_saury,62,2
2019,CA,Stick_held_dip_net,Russia,Pacific_saury,187,4
2018,CA,Stick_held_dip_net,Russia,Pacific_saury,219,4
2017,CA,Stick_held_dip_net,Russia,Pacific_saury,336,13
2016,CA,Stick_held_dip_net,Russia,Pacific_saury,121,6
2015,CA,Stick_held_dip_net,Russia,Pacific_saury,311,15
2014,CA,Stick_held_dip_net,Russia,Pacific_saury,218,15
2013,CA,Stick_held_dip_net,Russia,Pacific_saury,27,21
2012,CA,Stick_held_dip_net,Russia,Pacific_saury,198,16
2011,CA,Stick_held_dip_net,Russia,Pacific_saury,224,14
2010,CA,Stick_held_dip_net,Russia,Pacific_saury,96,8
2009,CA,Stick_held_dip_net,Russia,Pacific_saury,108,12
2008,CA,Stick_held_dip_net,Russia,Pacific_saury,264,12
2007,CA,Stick_held_dip_net,Russia,Pacific_saury,210,10
2006,CA,Stick_held_dip_net,Russia,Pacific_saury,319,11
2005,CA,Stick_held_dip_net,Russia,Pacific_saury,448,16
2004,CA,Stick_held_dip_net,Russia,Pacific_saury,280,14
2003,CA,Stick_held_dip_net,Russia,Pacific_saury,0,0
2020,NW,Stick_held_dip_net,Russia,Pacific_saury,14,1
2019,NW,Stick_held_dip_net,Russia,Pacific_saury,30,5
2018,NW,Stick_held_dip_net,Russia,Pacific_saury,145,10
2017,NW,Stick_held_dip_net,Russia,Pacific_saury,251,14
2016,NW,Stick_held_dip_net,Russia,Pacific_saury,624,28
2015,NW,Stick_held_dip_net,Russia,Pacific_saury,1142,39
2014,NW,Stick_held_dip_net,Russia,Pacific_saury,2544,61
2013,NW,Stick_held_dip_net,Russia,Pacific_saury,2159,63
2012,NW,Stick_held_dip_net,Russia,Pacific_saury,2447,58
2011,NW,Stick_held_dip_net,Russia,Pacific_saury,2232,51
2010,NW,Stick_held_dip_net,Russia,Pacific_saury,1449,46
2009,NW,Stick_held_dip_net,Russia,Pacific_saury,1696,51
2008,NW,Stick_held_dip_net,Russia,Pacific_saury,2402,49
2007,NW,Stick_held_dip_net,Russia,Pacific_saury,2642,57
2006,NW,Stick_held_dip_net,Russia,Pacific_saury,2005,49
2005,NW,Stick_held_dip_net,Russia,Pacific_saury,1873,48
2004,NW,Stick_held_dip_net,Russia,Pacific_saury,1769,37
2003,NW,Stick_held_dip_net,Russia,Pacific_saury,1943,48
2002,NW,Stick_held_dip_net,Russia,Pacific_saury,1715,50
2001,NW,Stick_held_dip_net,Russia,Pacific_saury,1527,38
2000,NW,Stick_held_dip_net,Russia,Pacific_saury,845,28
1999,NW,Stick_held_dip_net,Russia,Pacific_saury,311,11
1998,NW,Stick_held_dip_net,Russia,Pacific_saury,205,14
1997,NW,Stick_held_dip_net,Russia,Pacific_saury,328,16
1996,NW,Stick_held_dip_net,Russia,Pacific_saury,434,18
1995,NW,Stick_held_dip_net,Russia,Pacific_saury,650,28
2020,Composite,others,Russia,Pacific_saury,0,0
2019,Composite,others,Russia,Pacific_saury,5,1
2018,Composite,others,Russia,Pacific_saury,0,0
2017,Composite,others,Russia,Pacific_saury,6,3
2016,Composite,others,Russia,Pacific_saury,8,3
2015,Composite,others,Russia,Pacific_saury,28,9
2014,Composite,others,Russia,Pacific_saury,1,1
2013,Composite,others,Russia,Pacific_saury,31,3
2020,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,5451,87
2019,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6509,91
2018,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6235,83
2017,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6563,84
2016,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6580,91
2015,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,5868,90
2014,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,7127,91
2013,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6604,91
2012,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6613,85
2011,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6655,74
2010,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,9476,77
2009,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,7385,72
2008,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6322,68
2007,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,4951,67
2006,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,4875,65
2005,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,6331,67
2004,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,4543,67
2003,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,4534,67
2002,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,3145,56
2001,CA,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,1135,44
2000,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,1878,40
1999,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,1739,33
1998,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,1669,25
1997,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,1161,20
1996,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,856,14
1995,Composite,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,836,16
2020,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,0,0
2019,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,0,0
2018,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,0,0
2017,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,0,0
2016,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,0,0
2015,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,0,0
2014,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,582,11
2013,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,801,15
2012,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,736,13
2011,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,801,14
2010,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,296,5
2009,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,245,6
2008,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,164,3
2007,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,160,5
2005,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,252,8
2004,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,3,1
2003,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,246,6
2002,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,835,20
2001,NW,Stick_held_dip_net,Chinese_Taipei,Pacific_saury,1469,25
2020,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,280,4
2019,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,276,4
2018,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,277,4
2017,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,291,4
2016,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,312,4
2015,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,211,4
2014,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,87,1
2013,CA,Stick_held_dip_net,Vanuatu,Pacific_saury,73,1
2020,CA170EWest,squid_jigging,China,squid,8007,104
2019,CA170EWest,squid_jigging,China,squid,9781,106
2018,CA170EWest,squid_jigging,China,squid,8082,76
2017,CA170EWest,squid_jigging,China,squid,14878,138
2016,CA170EWest,squid_jigging,China,squid,21518,148
2015,CA170EWest,squid_jigging,China,squid,18696,116
2014,CA170EWest,squid_jigging,China,squid,28060,163
2013,CA170EWest,squid_jigging,China,squid,32704,214
2012,CA170EWest,squid_jigging,China,squid,31444,218
2011,CA170EWest,squid_jigging,China,squid,31000,208
2010,CA170EWest,squid_jigging,China,squid,39000,263
2009,CA170EWest,squid_jigging,China,squid,43000,273
2008,CA170EWest,squid_jigging,China,squid,42000,260
2007,CA170EWest,squid_jigging,China,squid,41500,255
2006,CA170EWest,squid_jigging,China,squid,53000,336
2005,CA170EWest,squid_jigging,China,squid,33000,215
2020,CA170EEast,squid_jigging,China,squid,3698,52
2019,CA170EEast,squid_jigging,China,squid,2382,30
2018,CA170EEast,squid_jigging,China,squid,1980,48
2017,CA170EEast,squid_jigging,China,squid,1749,48
2016,CA170EEast,squid_jigging,China,squid,454,36
2015,CA170EEast,squid_jigging,China,squid,997,32
2014,CA170EEast,squid_jigging,China,squid,1861,34
2013,CA170EEast,squid_jigging,China,squid,1965,33
2012,CA170EEast,squid_jigging,China,squid,210,4
2020,CA170EWest,squid_jigging,Japan,neon_flying_squid,67,1
2019,CA170EWest,squid_jigging,Japan,neon_flying_squid,24,5
2018,CA170EWest,squid_jigging,Japan,neon_flying_squid,18,2
2017,CA170EWest,squid_jigging,Japan,neon_flying_squid,2,1
2016,CA170EWest,squid_jigging,Japan,neon_flying_squid,73,9
2015,CA170EWest,squid_jigging,Japan,neon_flying_squid,90,6
2014,CA170EWest,squid_jigging,Japan,neon_flying_squid,122,17
2013,CA170EWest,squid_jigging,Japan,neon_flying_squid,256,16
2012,CA170EWest,squid_jigging,Japan,neon_flying_squid,21,4
2011,CA170EWest,squid_jigging,Japan,neon_flying_squid,380,41
2010,CA170EWest,squid_jigging,Japan,neon_flying_squid,879,53
2009,CA170EWest,squid_jigging,Japan,neon_flying_squid,207,21
2008,CA170EWest,squid_jigging,Japan,neon_flying_squid,246,8
2007,CA170EWest,squid_jigging,Japan,neon_flying_squid,144,10
2006,CA170EWest,squid_jigging,Japan,neon_flying_squid,84,6
2005,CA170EWest,squid_jigging,Japan,neon_flying_squid,113,25
2004,CA170EWest,squid_jigging,Japan,neon_flying_squid,89,7
2003,CA170EWest,squid_jigging,Japan,neon_flying_squid,560,43
2002,CA170EWest,squid_jigging,Japan,neon_flying_squid,270,19
2001,CA170EWest,squid_jigging,Japan,neon_flying_squid,1648,77
2000,CA170EWest,squid_jigging,Japan,neon_flying_squid,932,46
1999,CA170EWest,squid_jigging,Japan,neon_flying_squid,1724,66
1998,CA170EWest,squid_jigging,Japan,neon_flying_squid,3680,115
1997,CA170EWest,squid_jigging,Japan,neon_flying_squid,6800,135
1996,CA170EWest,squid_jigging,Japan,neon_flying_squid,6400,133
1995,CA170EWest,squid_jigging,Japan,neon_flying_squid,6774,130
2020,CA170EEast,squid_jigging,Japan,neon_flying_squid,2458,31
2019,CA170EEast,squid_jigging,Japan,neon_flying_squid,2522,30
2018,CA170EEast,squid_jigging,Japan,neon_flying_squid,1479,28
2017,CA170EEast,squid_jigging,Japan,neon_flying_squid,1475,26
2016,CA170EEast,squid_jigging,Japan,neon_flying_squid,1505,26
2015,CA170EEast,squid_jigging,Japan,neon_flying_squid,1399,23
2014,CA170EEast,squid_jigging,Japan,neon_flying_squid,1193,22
2013,CA170EEast,squid_jigging,Japan,neon_flying_squid,1381,28
2012,CA170EEast,squid_jigging,Japan,neon_flying_squid,1282,23
2011,CA170EEast,squid_jigging,Japan,neon_flying_squid,1011,25
2010,CA170EEast,squid_jigging,Japan,neon_flying_squid,1789,44
2009,CA170EEast,squid_jigging,Japan,neon_flying_squid,1969,41
2008,CA170EEast,squid_jigging,Japan,neon_flying_squid,2781,52
2007,CA170EEast,squid_jigging,Japan,neon_flying_squid,1813,32
2006,CA170EEast,squid_jigging,Japan,neon_flying_squid,706,19
2005,CA170EEast,squid_jigging,Japan,neon_flying_squid,641,21
2004,CA170EEast,squid_jigging,Japan,neon_flying_squid,979,24
2003,CA170EEast,squid_jigging,Japan,neon_flying_squid,1476,38
2002,CA170EEast,squid_jigging,Japan,neon_flying_squid,2153,43
2001,CA170EEast,squid_jigging,Japan,neon_flying_squid,3216,73
2000,CA170EEast,squid_jigging,Japan,neon_flying_squid,3404,71
1999,CA170EEast,squid_jigging,Japan,neon_flying_squid,2966,71
1998,CA170EEast,squid_jigging,Japan,neon_flying_squid,6170,126
1997,CA170EEast,squid_jigging,Japan,neon_flying_squid,395,10
1996,CA170EEast,squid_jigging,Japan,neon_flying_squid,476,17
1995,CA170EEast,squid_jigging,Japan,neon_flying_squid,138,5
2020,NW,squid_jigging,Japan,neon_flying_squid,80,7
2019,NW,squid_jigging,Japan,neon_flying_squid,84,10
2018,NW,squid_jigging,Japan,neon_flying_squid,585,26
2017,NW,squid_jigging,Japan,neon_flying_squid,395,29
2016,NW,squid_jigging,Japan,neon_flying_squid,0,0
2015,NW,squid_jigging,Japan,neon_flying_squid,6,3
2014,NW,squid_jigging,Japan,neon_flying_squid,910,38
2013,NW,squid_jigging,Japan,neon_flying_squid,207,39
2012,NW,squid_jigging,Japan,neon_flying_squid,9,5
2011,NW,squid_jigging,Japan,neon_flying_squid,2181,63
2010,NW,squid_jigging,Japan,neon_flying_squid,1550,68
2009,NW,squid_jigging,Japan,neon_flying_squid,2753,67
2008,NW,squid_jigging,Japan,neon_flying_squid,2897,72
2007,NW,squid_jigging,Japan,neon_flying_squid,480,55
2006,NW,squid_jigging,Japan,neon_flying_squid,3181,61
2005,NW,squid_jigging,Japan,neon_flying_squid,2093,70
2004,NW,squid_jigging,Japan,neon_flying_squid,2710,82
2003,NW,squid_jigging,Japan,neon_flying_squid,4292,132
2002,NW,squid_jigging,Japan,neon_flying_squid,2488,68
2001,NW,squid_jigging,Japan,neon_flying_squid,4668,106
2000,NW,squid_jigging,Japan,neon_flying_squid,4099,99
1999,NW,squid_jigging,Japan,neon_flying_squid,2763,75
1998,NW,squid_jigging,Japan,neon_flying_squid,5255,120
1997,NW,squid_jigging,Japan,neon_flying_squid,4050,129
1996,NW,squid_jigging,Japan,neon_flying_squid,4392,139
1995,NW,squid_jigging,Japan,neon_flying_squid,5654,169
2020,CA170EWest,squid_jigging,Korea,squid,0,0
2019,CA170EWest,squid_jigging,Korea,squid,44,10
2018,CA170EWest,squid_jigging,Korea,squid,0,0
2017,CA170EWest,squid_jigging,Korea,squid,44,1
2020,CA170EEast,squid_jigging,Korea,squid,0,0
2019,CA170EEast,squid_jigging,Korea,squid,0,0
2018,CA170EEast,squid_jigging,Korea,squid,0,0
2017,CA170EEast,squid_jigging,Korea,squid,17,1
2020,NW,squid_jigging,Russia,squid,0,0
2019,NW,squid_jigging,Russia,squid,27,5
2020,CA170EEast,squid_jigging,Russia,squid,0,0
2019,CA170EEast,squid_jigging,Russia,squid,4,1
2020,CA,squid_jigging,Russia,squid,0,0
2019,CA,squid_jigging,Russia,squid,9,1
2019,NW,Danish_seine,Russia,squid,4,2
2020,NW,Danish_seine,Russia,squid,0,0
2020,NW,drift_net,Russia,squid,0,0
2019,NW,drift_net,Russia,squid,0,0
2018,NW,drift_net,Russia,squid,0,0
2017,NW,drift_net,Russia,squid,0,0
2016,NW,drift_net,Russia,squid,0,0
2015,NW,drift_net,Russia,squid,0,0
2014,NW,drift_net,Russia,squid,0,0
2013,NW,drift_net,Russia,squid,0,0
2012,NW,drift_net,Russia,squid,0,0
2011,NW,drift_net,Russia,squid,68,2
2010,NW,drift_net,Russia,squid,0,0
2009,NW,drift_net,Russia,squid,0,0
2008,NW,drift_net,Russia,squid,0,0
2007,NW,drift_net,Russia,squid,34,2
2006,NW,drift_net,Russia,squid,39,3
2005,NW,drift_net,Russia,squid,276,7
2004,NW,drift_net,Russia,squid,105,5
2003,NW,drift_net,Russia,squid,38,2
2002,NW,drift_net,Russia,squid,34,4
2001,NW,drift_net,Russia,squid,14,1
2000,NW,drift_net,Russia,squid,0,0
1999,NW,drift_net,Russia,squid,39,3
1998,NW,drift_net,Russia,squid,0,0
1997,NW,drift_net,Russia,squid,0,0
1996,NW,drift_net,Russia,squid,0,0
1995,NW,drift_net,Russia,squid,0,0
2020,NW,bottom_trawl,Russia,squid,0,0
2019,NW,bottom_trawl,Russia,squid,95,7
2018,NW,bottom_trawl,Russia,squid,3,2
2017,NW,bottom_trawl,Russia,squid,13,2
2016,NW,bottom_trawl,Russia,squid,29,5
2015,NW,bottom_trawl,Russia,squid,53,4
2014,NW,bottom_trawl,Russia,squid,145,9
2020,CA170EWest,midwater_trawl,Russia,squid,0,0
2019,CA170EWest,midwater_trawl,Russia,squid,0,0
2018,CA170EWest,midwater_trawl,Russia,squid,0,0
2017,CA170EWest,midwater_trawl,Russia,squid,0,0
2016,CA170EWest,midwater_trawl,Russia,squid,1,1
2015,CA170EWest,midwater_trawl,Russia,squid,5,1
2014,CA170EWest,midwater_trawl,Russia,squid,2,1
2020,NW,midwater_trawl,Russia,squid,0,0
2019,NW,midwater_trawl,Russia,squid,1162,45
2018,NW,midwater_trawl,Russia,squid,55,10
2017,NW,midwater_trawl,Russia,squid,58,7
2016,NW,midwater_trawl,Russia,squid,341,27
2015,NW,midwater_trawl,Russia,squid,258,14
2014,NW,midwater_trawl,Russia,squid,95,10
2020,CA170EWest,squid_jigging,Chinese_Taipei,squid,77,399
2019,CA170EWest,squid_jigging,Chinese_Taipei,squid,91,2320
2018,CA170EWest,squid_jigging,Chinese_Taipei,squid,2,2
2017,CA170EWest,squid_jigging,Chinese_Taipei,squid,80,412
2016,CA170EWest,squid_jigging,Chinese_Taipei,squid,89,836
2015,CA170EWest,squid_jigging,Chinese_Taipei,squid,NA,NA
2014,CA170EWest,squid_jigging,Chinese_Taipei,squid,NA,NA
2013,CA170EWest,squid_jigging,Chinese_Taipei,squid,NA,NA
2012,CA170EWest,squid_jigging,Chinese_Taipei,squid,NA,NA
2011,CA170EWest,squid_jigging,Chinese_Taipei,squid,6,7
2010,CA170EWest,squid_jigging,Chinese_Taipei,squid,NA,NA
2009,CA170EWest,squid_jigging,Chinese_Taipei,squid,12,271
2008,CA170EWest,squid_jigging,Chinese_Taipei,squid,2,45
2007,CA170EWest,squid_jigging,Chinese_Taipei,squid,3,47
2006,CA170EWest,squid_jigging,Chinese_Taipei,squid,2,97
2005,CA170EWest,squid_jigging,Chinese_Taipei,squid,14,1703
2004,CA170EWest,squid_jigging,Chinese_Taipei,squid,44,1878
2003,CA170EWest,squid_jigging,Chinese_Taipei,squid,3,162
2002,CA170EWest,squid_jigging,Chinese_Taipei,squid,18,1057
2001,CA170EWest,squid_jigging,Chinese_Taipei,squid,41,2484
2000,CA170EWest,squid_jigging,Chinese_Taipei,squid,18,1249
1999,CA170EWest,squid_jigging,Chinese_Taipei,squid,41,2729
1998,CA170EWest,squid_jigging,Chinese_Taipei,squid,75,5450
1997,CA170EWest,squid_jigging,Chinese_Taipei,squid,31,2368
1996,CA170EWest,squid_jigging,Chinese_Taipei,squid,28.5,3464
1995,CA170EWest,squid_jigging,Chinese_Taipei,squid,26,4017
2020,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2019,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2018,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2017,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2016,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2015,CA170EEast,squid_jigging,Chinese_Taipei,squid,NA,NA
2014,CA170EEast,squid_jigging,Chinese_Taipei,squid,NA,NA
2013,CA170EEast,squid_jigging,Chinese_Taipei,squid,NA,NA
2012,CA170EEast,squid_jigging,Chinese_Taipei,squid,NA,NA
2011,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2010,CA170EEast,squid_jigging,Chinese_Taipei,squid,NA,NA
2009,CA170EEast,squid_jigging,Chinese_Taipei,squid,1,55
2008,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2007,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2006,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2005,CA170EEast,squid_jigging,Chinese_Taipei,squid,6,192
2004,CA170EEast,squid_jigging,Chinese_Taipei,squid,7,154
2003,CA170EEast,squid_jigging,Chinese_Taipei,squid,2,17
2002,CA170EEast,squid_jigging,Chinese_Taipei,squid,16,269
2001,CA170EEast,squid_jigging,Chinese_Taipei,squid,0,0
2000,CA170EEast,squid_jigging,Chinese_Taipei,squid,2,32
1999,CA170EEast,squid_jigging,Chinese_Taipei,squid,10,572
1998,CA170EEast,squid_jigging,Chinese_Taipei,squid,29,700
1997,CA170EEast,squid_jigging,Chinese_Taipei,squid,18,795
1996,CA170EEast,squid_jigging,Chinese_Taipei,squid,28.5,1014
1995,CA170EEast,squid_jigging,Chinese_Taipei,squid,26,355
2020,CA170EWest,squid_jigging,Vanuatu,squid,0,0
2019,CA170EWest,squid_jigging,Vanuatu,squid,4,95
2020,NW,purse_seine,Japan,jpn_sardine,NA,NA
2019,NW,purse_seine,Japan,jpn_sardine,58,6203
2018,NW,purse_seine,Japan,jpn_sardine,57,6429
2017,NW,purse_seine,Japan,jpn_sardine,57,6844
2016,NW,purse_seine,Japan,jpn_sardine,53,6881
2015,NW,purse_seine,Japan,jpn_sardine,52,6726
2014,NW,purse_seine,Japan,jpn_sardine,55,7233
2013,NW,purse_seine,Japan,jpn_sardine,55,7125
2012,NW,purse_seine,Japan,jpn_sardine,54,5400
2011,NW,purse_seine,Japan,jpn_sardine,50,5966
2010,NW,purse_seine,Japan,jpn_sardine,44,3524
2020,CA,purse_seine,China,jpn_sardine,51,8459
2019,CA,purse_seine,China,jpn_sardine,29,4900
2018,CA,purse_seine,China,jpn_sardine,62,12341
2017,CA,purse_seine,China,jpn_sardine,75,16413
2020,CA,pelagic_trawl,China,jpn_sardine,2,296
2019,CA,pelagic_trawl,China,jpn_sardine,3,293
2018,CA,pelagic_trawl,China,jpn_sardine,3,158
2017,CA,pelagic_trawl,China,jpn_sardine,2,259
2020,NW,purse_seine,Russia,jpn_sardine,2,149
2019,NW,purse_seine,Russia,jpn_sardine,2,99
2018,NW,purse_seine,Russia,jpn_sardine,2,35
2017,NW,purse_seine,Russia,jpn_sardine,2,39
2016,NW,purse_seine,Russia,jpn_sardine,2,6
2020,NW,midwater_trawl,Russia,jpn_sardine,68,2513
2019,NW,midwater_trawl,Russia,jpn_sardine,52,1517
